"LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default_payment_next_month"
20000,2,1,1,24,2,2,-1,-1,-2,-2,3924,3102,689,0,0,0,0,689,0,0,0,0,1
90000,2,1,2,34,0,0,0,0,0,0,29261,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0
50000,2,1,1,37,0,0,0,0,0,0,47000,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0
50000,1,1,1,57,-1,0,-1,0,0,0,8615,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0
50000,1,0,2,37,0,0,0,0,0,0,64330,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0
5e+05,1,0,2,29,0,0,0,0,0,0,369398,412023,445007,542653,483003,473944,54608,40000,38000,20239,13750,13770,0
1e+05,2,1,2,23,0,-1,-1,0,0,-1,11872,380,601,221,-159,567,376,601,0,581,1687,1542,0
130000,2,2,1,28,0,0,2,0,0,0,11278,14096,12108,12211,11793,3719,3333,0,432,1000,1000,1000,0
20000,1,2,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0
2e+05,2,3,2,34,0,0,2,0,0,-1,11074,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0
260000,2,0,2,51,-1,-1,-1,-1,-1,2,12236,21670,9966,8517,22287,13668,21958,9966,8583,22301,0,3640,0
630000,2,2,2,41,-1,0,-1,-1,-1,-1,12171,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,0
60000,1,2,2,30,1,2,2,0,0,2,65763,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,1
240000,1,1,2,29,0,0,0,0,0,0,70820,67060,63561,59696,56875,55512,2995,3000,3000,3000,3000,3000,0
320000,1,1,1,49,0,0,0,-1,-1,-1,253072,246536,194663,70074,5856,195599,10322,10000,75940,20000,195599,50000,0
360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,2,3,2,39,0,0,0,0,0,-1,38386,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0
110000,2,2,1,39,-1,-1,-1,-1,-1,-1,313,316,316,0,632,316,312,316,0,632,316,0,1
90000,1,1,2,23,0,0,0,-1,0,0,4757,7070,0,5398,6360,8292,5763,0,5398,1200,2045,2000,0
60000,1,1,2,27,1,-2,-1,-1,-1,-1,-101,-425,259,-57,127,-189,0,1000,0,500,0,1000,1
50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0
50000,2,3,1,47,-1,-1,-1,-1,-1,-1,643,3415,3416,2040,30430,257,3416,3421,2044,30430,257,0,0
50000,1,1,2,26,0,0,0,0,0,0,15355,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,0
220000,2,1,2,27,-1,-1,-1,-1,-1,-1,16659,17265,13266,15339,14307,36923,17200,13281,15339,14307,37292,0,0
50000,1,2,2,33,2,0,0,0,0,0,30505,29618,22102,22734,23217,23680,1715,1500,1000,1000,1000,716,1
1e+05,1,1,2,32,0,0,0,0,0,0,93005,84071,82880,80958,78703,75589,3021,3511,3302,3204,3200,2504,0
5e+05,2,2,1,54,-2,-2,-2,-2,-2,-2,10920,4152,22722,7521,71439,8981,4153,22827,7521,71439,981,51582,0
5e+05,1,1,1,58,-2,-2,-2,-2,-2,-2,13707,5006,31130,3180,0,5293,5005,31178,3180,0,5293,768,0
160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30287,-131,-527,-923,-1488,-1884,129,396,396,565,792,0,0
280000,1,2,1,40,0,0,0,0,0,0,186778,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0
60000,2,2,2,22,0,0,0,0,0,-1,15069,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,0
50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,776,0,0,0,0,0,1
60000,2,1,2,25,0,0,0,0,0,0,67474,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0
10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,0
130000,2,2,1,37,0,0,0,0,0,0,59555,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,0
30000,2,1,2,30,0,0,0,2,0,0,18951,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0
2e+05,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
370000,1,2,2,32,-1,-1,-1,-1,-1,-1,22413,21540,15134,32018,11849,11873,21532,15138,24677,11851,11875,8251,0
60000,1,3,2,42,1,2,2,2,2,0,37123,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1
1e+05,2,3,3,43,0,0,0,0,0,0,61618,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0
3e+05,2,2,1,49,-2,-2,-2,-2,-2,-2,13460,7867,7600,11185,3544,464,7857,7600,11185,3544,464,0,0
180000,2,1,2,25,1,2,0,0,0,0,41408,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0
150000,2,1,2,29,2,0,0,0,0,0,46199,34993,31434,26518,21042,16540,1599,1718,1049,1500,2000,5000,0
5e+05,2,1,1,45,-2,-2,-2,-2,-2,-2,1902,3640,162,0,151,2530,3645,162,0,151,2530,0,0
180000,2,3,1,34,0,0,0,-1,-1,-1,16400,15793,8441,7142,-679,8321,8479,1500,7500,679,9000,2000,0
180000,2,2,1,34,0,0,0,0,0,0,176028,173440,172308,168608,132202,129918,8100,7296,5253,4814,4816,3800,0
2e+05,2,1,2,34,-1,3,2,2,2,2,1580,1098,782,1166,700,1414,0,0,700,0,1200,0,0
4e+05,2,2,1,29,0,0,0,0,0,0,403546,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0
5e+05,2,3,1,28,0,0,0,0,0,0,22908,23638,18878,14937,13827,15571,1518,1300,1000,1000,2000,2000,1
60000,1,2,1,39,0,0,0,0,0,-1,70820,72060,69938,16518,14096,830,4028,2095,1000,2000,3000,0,0
50000,1,1,2,29,2,2,2,2,2,2,24927,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1
2e+05,1,1,1,57,-2,-2,-2,-1,2,2,152197,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1
10000,1,2,1,56,2,2,2,0,0,0,2084,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1
2e+05,2,1,2,30,2,-1,-1,-1,-1,-1,296,300,1159,2280,300,4250,299,1159,2280,300,4250,909,0
120000,2,3,2,29,1,-2,-2,-1,2,-1,-191,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0
20000,1,5,2,22,2,0,0,0,0,0,18590,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0
2e+05,2,2,1,32,-1,-1,-1,-1,2,-1,9095,5787,-684,5247,3848,3151,5802,15,9102,17,3165,1395,0
340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3043,5550,23337,4291,80153,25820,5704,23453,4314,80552,25949,2016,0
20000,1,2,2,24,0,0,2,0,0,0,14617,17216,16642,16976,17332,18543,2846,0,610,630,1500,0,0
50000,1,3,2,25,-1,0,0,0,0,0,42874,37225,36087,9636,9590,10030,1756,1779,320,500,1000,1000,0
290000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,286,291,291,291,291,291,0
20000,2,2,2,22,0,0,0,0,0,0,28358,29612,30326,28004,26446,6411,1683,1400,560,3000,1765,0,1
240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
460000,2,3,3,33,0,0,0,0,0,0,164857,157784,162702,69923,29271,29889,6396,7566,3000,960,1000,3000,0
360000,2,1,2,26,0,0,0,0,0,-1,23396,27796,30400,33100,180000,196,4800,3400,3100,146900,196,2963,0
60000,1,3,2,30,0,0,0,0,0,0,26307,27471,28108,21993,19899,19771,1578,1213,648,768,1140,0,1
4e+05,2,2,1,44,0,0,2,0,0,0,131575,139060,126819,104430,104990,94058,10688,3,3050,3000,3200,2800,0
50000,2,3,2,49,0,0,0,0,0,0,48888,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0
160000,1,2,2,33,0,0,0,0,0,0,130261,107808,71934,118418,118407,120418,4398,3547,80000,4500,4800,4500,0
360000,2,1,1,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,1
20000,1,3,2,44,2,2,0,0,0,2,8585,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0
2e+05,1,1,1,53,2,2,2,2,2,2,138009,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1
280000,2,1,2,39,-1,-1,-1,0,0,-2,7523,0,3968,3868,0,0,0,3968,0,0,0,0,0
1e+05,2,1,2,27,-2,-2,-2,-2,-2,-2,-2012,5555,0,0,0,0,7540,0,0,0,0,0,0
160000,2,2,1,37,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,840,840,0,0,7736,0
360000,1,1,1,43,-1,-1,-1,-1,-1,0,3956,8322,3394,6451,26370,9956,8331,3394,12902,27000,0,68978,0
50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1413,1194,379,281,321,197,0
20000,1,2,1,38,0,0,0,0,0,-1,17971,19367,19559,18240,17928,150,1700,1460,626,1750,150,0,1
130000,1,1,2,32,-2,-2,-2,-2,-2,-2,667,10212,850,415,100,1430,10208,850,415,100,1430,0,0
370000,2,1,2,30,-2,-2,-1,0,0,0,-74,-303,32475,32891,33564,34056,227,33178,1171,1197,1250,5000,0
470000,1,1,1,63,0,0,0,2,2,0,421895,431342,479432,487066,471145,469961,16008,55693,17000,0,18000,24200,0
50000,2,3,2,22,0,0,0,0,0,0,44739,42254,38347,32496,23477,24094,1768,1362,1002,840,995,904,1
60000,2,2,2,26,2,2,2,2,2,0,56672,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,0
70000,2,2,2,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,0
70000,2,2,1,36,-1,-1,-1,-1,-1,-1,6126,2861,3277,3319,1150,1150,2864,3279,3319,1150,1150,1035,0
350000,1,1,2,52,-1,-1,-1,-1,-1,-1,711,2272,722,867,1150,5263,2267,722,867,1150,5263,5011,0
120000,1,2,2,38,0,0,0,-1,-1,-1,171768,178382,39940,120483,44127,126568,10846,0,133657,4566,133841,4796,0
360000,1,2,1,35,1,-2,-2,-2,-2,-2,-101,-103,-103,-103,-103,-103,0,0,0,0,0,0,0
320000,2,1,1,31,0,0,2,0,0,0,105927,108431,105594,105896,106491,107289,9269,0,3593,4100,15794,0,0
1e+05,2,1,2,24,0,0,0,0,0,0,52108,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,0
50000,1,2,2,41,0,0,0,0,0,0,19030,19294,20259,20274,20311,19957,1338,1305,700,718,724,684,0
20000,1,1,2,24,-1,2,0,0,3,2,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,1
240000,1,1,2,28,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,323,326,5676,476,326,526,0
70000,1,2,2,26,2,0,0,0,0,0,14034,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,1
50000,1,3,2,37,2,2,2,3,2,2,46041,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,1
1e+05,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
3e+05,2,2,1,35,2,0,0,0,0,0,305823,311243,306314,258610,246491,198889,13016,11128,8407,8599,6833,5987,1
20000,1,1,2,27,0,0,0,0,0,0,19109,18962,19298,19378,19717,15630,1402,1130,600,861,313,0,0
20000,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
2e+05,1,3,2,52,0,0,0,0,0,0,110163,99530,98951,100914,103146,104993,3564,3585,3602,3848,3669,3784,0
180000,1,1,1,36,0,0,0,0,0,0,164137,116422,99278,95766,97753,95927,4663,2690,2067,2142,2217,1000,1
