"ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default_payment_next_month"
1,50000,2,1,1,24,2,2,-1,-1,-2,-2,29391,3102,689,0,0,0,2000,689,0,0,0,0,1
2,120000,2,1,2,26,-1,2,0,0,0,2,2667,1725,2682,3272,3455,3261,444,1000,1000,1000,0,2000,1
3,80000,2,1,2,34,0,0,0,0,0,0,49386,14027,13559,14331,14948,15549,3000,1500,1000,1000,1000,5000,0
4,110000,2,1,1,37,0,0,0,0,0,0,46970,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0
5,70000,1,1,1,57,-1,0,-1,0,0,0,8513,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0
6,150000,1,0,2,37,0,0,0,0,0,0,64489,57069,57608,19394,19619,20024,3101,1815,657,1000,1000,800,0
7,530000,1,1,2,29,0,0,0,0,0,0,460609,412023,445007,542653,483003,473944,20225,40000,38000,20239,13750,13770,0
8,90000,2,1,2,23,0,-1,-1,0,0,-1,38985,380,601,221,-159,567,1552,601,0,581,1687,1542,0
9,80000,2,2,1,28,0,0,2,0,0,0,26446,14096,12108,12211,11793,3719,2145,0,432,1000,1000,1000,0
10,20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0
11,90000,2,3,2,34,0,0,2,0,0,-1,20755,9787,5535,2513,1828,3731,2000,12,50,300,3738,66,0
12,270000,2,1,2,51,-1,-1,-1,-1,-1,2,64937,21670,9966,8517,22287,13668,6000,9966,8583,22301,0,3640,0
13,420000,2,2,2,41,-1,0,-1,-1,-1,-1,32236,6500,6500,6500,6500,2870,8600,6500,6500,6500,2870,0,0
14,80000,1,2,2,30,1,2,2,0,0,2,26168,67369,65701,66782,36137,36894,1200,0,3000,3000,1500,0,1
15,250000,1,1,2,29,0,0,0,0,0,0,63348,67060,63561,59696,56875,55512,5000,3000,3000,3000,3000,3000,0
16,30000,2,3,3,23,1,2,0,0,0,0,16549,29173,28116,28771,29531,30211,1000,1500,1100,1200,1300,1100,0
17,60000,1,1,2,24,0,0,2,2,2,2,27429,18010,17428,18338,17905,19104,2000,0,1500,0,1650,0,1
18,330000,1,1,1,49,0,0,0,-1,-1,-1,240725,246536,194663,70074,5856,195599,10322,10000,75940,20000,195599,50000,0
19,360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,70000,2,3,2,39,0,0,0,0,0,-1,10642,27688,24489,20616,11802,930,1700,1537,1000,2000,930,33764,0
22,50000,2,2,1,39,-1,-1,-1,-1,-1,-1,42548,316,316,0,632,316,1267,316,0,632,316,0,1
23,50000,2,2,2,26,2,0,0,2,2,2,47718,42445,45020,44006,46905,46012,1814,3582,0,3601,0,1820,1
24,420000,2,1,1,40,-2,-2,-2,-2,-2,-2,32236,19420,1473,560,0,0,8600,1473,560,0,0,1128,1
25,120000,1,1,2,23,0,0,0,-1,0,0,8318,7070,0,5398,6360,8292,2900,0,5398,1200,2045,2000,0
26,20000,1,3,2,23,0,0,0,0,0,0,16420,41810,36023,28967,29829,30046,1500,1426,1001,1432,1062,997,0
27,50000,1,1,2,27,1,-2,-1,-1,-1,-1,33675,-425,259,-57,127,-189,2005,1000,0,500,0,1000,1
28,50000,2,3,2,30,0,0,0,0,0,0,20243,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0
29,30000,2,3,1,47,-1,-1,-1,-1,-1,-1,20985,3415,3416,2040,30430,257,1500,3421,2044,30430,257,0,0
30,50000,1,1,2,26,0,0,0,0,0,0,28234,16575,17496,17907,18375,11400,2000,1500,1000,1000,1600,0,0
31,250000,2,1,2,27,-1,-1,-1,-1,-1,-1,63348,17265,13266,15339,14307,36923,5000,13281,15339,14307,37292,0,0
32,50000,1,2,2,33,2,0,0,0,0,0,29302,29618,22102,22734,23217,23680,1000,1500,1000,1000,1000,716,1
33,240000,1,1,2,32,0,0,0,0,0,0,9487,84071,82880,80958,78703,75589,2598,3511,3302,3204,3200,2504,0
34,270000,2,2,1,54,-2,-2,-2,-2,-2,-2,109424,4152,22722,7521,71439,8981,8000,22827,7521,71439,981,51582,0
35,320000,1,1,1,58,-2,-2,-2,-2,-2,-2,83369,5006,31130,3180,0,5293,7868,31178,3180,0,5293,768,0
36,2e+05,1,1,2,30,-1,-1,-2,-2,-2,-1,8000,-131,-527,-923,-1488,-1884,1555,396,396,565,792,0,0
37,270000,1,2,1,40,0,0,0,0,0,0,103078,181328,180422,170410,173901,177413,7000,8060,6300,6400,6400,6737,0
38,30000,2,2,2,22,0,0,0,0,0,-1,27429,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,0
39,50000,1,1,2,25,1,-1,-1,-2,-2,-2,49583,780,0,0,0,0,2100,0,0,0,0,0,1
40,230000,1,1,2,31,-1,-1,2,-1,0,-1,12521,9075,4641,9976,17976,9477,5000,0,9976,8000,9525,781,0
41,330000,1,1,2,33,0,0,0,0,0,0,240725,221296,206895,628699,195969,179224,10322,7000,6000,188840,28000,4000,0
42,150000,2,1,2,25,0,0,0,0,0,0,9637,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0
43,20000,1,2,2,22,0,0,0,0,0,0,7791,3184,6003,3576,3670,4451,1467,2927,1000,300,1000,500,0
44,140000,2,2,1,37,0,0,0,0,0,0,29480,61544,62925,64280,67079,69802,2800,3000,3000,4000,4000,3000,0
45,80000,2,1,2,30,0,0,0,2,0,0,10704,21295,25921,25209,26636,29197,2500,5000,0,2000,3000,0,0
46,2e+05,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
47,50000,2,1,2,22,0,0,2,-1,0,0,18396,16484,15800,16341,16675,0,2308,0,16741,334,0,0,1
48,50000,2,4,2,46,0,0,-1,0,0,-2,17562,3034,1170,1170,0,0,1149,1170,0,0,0,0,1
49,320000,1,2,2,32,-1,-1,-1,-1,-1,-1,22399,21540,15134,32018,11849,11873,6900,15138,24677,11851,11875,8251,0
50,50000,1,1,2,24,0,0,0,0,0,0,48006,18479,19476,19865,20480,20063,1804,1315,704,928,912,1069,0
51,50000,1,3,2,42,1,2,2,2,2,0,8481,36171,38355,39423,38659,39362,2008,3100,2000,0,1500,1500,1
52,1e+05,2,3,3,43,0,0,0,0,0,0,14870,51163,43824,39619,35762,33258,1039,1606,1500,2000,1500,1000,0
53,210000,2,2,1,49,-2,-2,-2,-2,-2,-2,83756,7867,7600,11185,3544,464,4054,7600,11185,3544,464,0,0
54,150000,2,1,2,25,1,2,0,0,0,0,64489,41742,42758,43510,44420,45319,4107,2010,1762,1762,1790,1622,0
55,190000,2,1,2,29,2,0,0,0,0,0,10677,34993,31434,26518,21042,16540,3008,1718,1049,1500,2000,5000,0
56,360000,2,1,1,45,-2,-2,-2,-2,-2,-2,81734,3640,162,0,151,2530,7751,162,0,151,2530,0,0
57,70000,2,3,1,34,0,0,0,-1,-1,-1,25867,15793,8441,7142,-679,8321,2000,1500,7500,679,9000,2000,0
58,230000,2,2,1,34,0,0,0,0,0,0,117191,173440,172308,168608,132202,129918,4900,7296,5253,4814,4816,3800,0
59,170000,2,1,2,34,-1,3,2,2,2,2,7210,1098,782,1166,700,1414,2500,0,700,0,1200,0,0
60,430000,2,2,1,29,0,0,0,0,0,0,290301,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0
