id,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
16160, [0 - 31200],1,130000,2,25,0,0,0,0,0,0, university,129217,128302,125300,4125,4210, [99290 - 114838],4268,89527,107,500,1000,0
22644, [0 - 31200],2,130000,1,41,0,-1,-1,-1,0,0, university,678,1287,54531,55229,56836, [99290 - 114838],1350,54531,2200,2500,2300,0
13974, [0 - 31200],2,130000,1,47,2,2,2,2,2,2, university,120452,129137,129956,130946,130814, [99290 - 114838],12200,4500,4502,5000,0,1
14407, [0 - 31200],1,130000,2,33,-1,-1,-1,-1,-1,-1, university,23160,31484,396,3832,3867, [99290 - 114838],31610,396,3832,3867,1500,0
3770, [0 - 31200],2,130000,1,37,1,-1,-1,-1,0,-1, university,2094,1256,845,2149,696, [99290 - 114838],1256,845,2000,696,696,0
18449, [0 - 31200],2,130000,2,35,2,2,2,2,2,2, university,91247,68552,67324,39573,28610, [99290 - 114838],0,25000,0,2235,0,0
20541, [0 - 31200],2,130000,2,39,-1,0,0,0,0,0, university,15284,20467,25200,35000,0, [99290 - 114838],5467,5200,10000,0,0,0
448, [0 - 31200],1,130000,2,38,-1,0,0,0,0,0, university,111201,63146,63723,65108,66078, [99290 - 114838],8004,5000,5000,5000,105700,0
3636, [0 - 31200],1,130000,2,38,-1,-1,-1,-1,-1,-1, university,390,390,374,284,1064, [99290 - 114838],390,374,300,1170,1170,0
16451, [0 - 4727],1,[200000 - 210000],2,32,0,0,0,0,0,0, university,47771,51414,52993,54962,56523, [0 - 6981],5000,3000,4000,3000,3000,0
23555, [0 - 4727],1,[200000 - 210000],2,40,0,0,0,0,-1,0, university,50019,36939,29500,19655,20067, [0 - 6981],1515,3076,20693,679,653,0
22807, [0 - 4727],2,[200000 - 210000],1,35,-1,-1,-1,-1,0,0, university,0,312,7736,7278,7278, [0 - 6981],312,7736,0,0,1470,0
2741, [0 - 4727],2,[200000 - 210000],3,35,0,0,2,0,0,0, university,15453,13420,15211,14395,16141, [0 - 6981],0,2000,1000,2000,1000,0
19342, [0 - 4727],1,[200000 - 210000],2,39,0,0,0,0,0,0, university,40701,41342,41424,41182,41187, [0 - 6981],2000,2000,1600,2000,2000,1
10012, [0 - 4727],2,[200000 - 210000],1,33,2,0,0,0,0,0, university,48214,27572,26810,20541,19234, [0 - 6981],1300,1505,1000,1000,2000,1
8545, [0 - 4727],1,[200000 - 210000],1,34,-1,-1,-1,-1,0,0, university,1943,2402,18700,9900,0, [0 - 6981],2500,38098,5000,0,0,0
4541, [0 - 4727],2,[200000 - 210000],1,35,0,0,0,0,0,-1, university,42144,35757,33789,33219,5621, [0 - 6981],10036,18002,10000,5621,0,0
12930, [0 - 4727],2,[200000 - 210000],1,45,1,2,2,2,2,2, university,22490,26789,26065,27408,26831, [0 - 6981],5000,0,2084,0,2305,1
972, [0 - 6543],2,130000,1,50,-2,-1,-1,-1,-1,-1, university,86772,53170,28622,19140,0, [118410 - 129998],53192,28622,19140,0,20211,0
8814, [0 - 6543],2,130000,2,23,0,0,0,0,0,0, university,147880,146958,147218,146817,103651, [118410 - 129998],4570,4500,5000,3300,1300,1
13489, [0 - 6543],2,130000,2,24,0,0,0,0,0,0, university,35806,36823,36285,36683,37150, [118410 - 129998],3000,1580,1294,1355,5000,0
13463, [0 - 6543],2,130000,2,22,0,0,0,0,0,0, university,29819,30582,28983,27947,26630, [118410 - 129998],3000,1404,559,533,1000,0
18067, [0 - 6543],2,130000,2,37,0,0,0,0,0,0, university,46586,48832,49568,46939,49147, [118410 - 129998],3000,2000,2000,3000,7000,0
17285, [0 - 6543],2,130000,2,27,1,-2,-2,-2,-2,-2, university,0,0,0,0,0, [118410 - 129998],0,0,0,0,0,1
10437, [0 - 6543],1,130000,2,30,-1,-1,0,0,-1,-1, university,4179,1689,1851,34808,-30895, [118410 - 129998],1200,1893,42804,10,85820,0
